,nr_tunnused,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS')",6,-0.209,0.595
"('TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.213,0.595
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS')",5,-0.215,0.595
"('AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",4,-0.218,0.595
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SPS')",5,-0.218,0.595
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'SPS', 'VSA_EState1')",5,-0.219,0.595
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",6,-0.234,0.595
"('AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",5,-0.243,0.595
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8')",5,-0.209,0.594
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.219,0.594
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SPS')",6,-0.221,0.594
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.227,0.594
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SPS', 'VSA_EState1')",6,-0.227,0.594
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8')",3,-0.208,0.593
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'SPS')",4,-0.209,0.593
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8')",5,-0.21,0.593
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SPS', 'VSA_EState1')",6,-0.22,0.593
